ko,en,tw
사용할 수 있는 이메일 입니다,This email is available to use.,該電子郵件可供使用。
회원가입,Join Membership,加入會員
로그인을 위한 정보를 입력해주세요!,Please enter the information for login!,請輸入資訊進行登入！
휴대폰 번호를 통한 본인인증을 진행합니다.,We will proceed with the mobile phone number authentication.,我們將進行手機號碼認證。
프로필 설정,Profile Settings,設定檔設定
프로필을 설정한 회원이 더 목표를 잘 해냈어요!,Members who set up their profiles achieve their goals better!,建立個人資料的會員可以更好地實現他們的目標！
닉네임,Nickname,暱稱
변경,Change,改變
완료,Complete,完全的
회원정보 입력,Enter Membership Information,輸入會員資訊
회원님의 정보를 바탕으로 적절한 트레이닝 방법을\n추천해 드립니다. 정확한 정보를 입력해주세요!,Please enter your information so that we can recommend the appropriate training methods based on your information!,請輸入您的訊息，以便我們根據您的資訊推薦合適的培訓方法！
리앤핏 가입 시,Why is personal and physical information required,為什麼需要個人和身體訊息
개인 · 신체정보,when joining RenFit?,什麼時候加入RenFit？
가\n필요한 이유가 뭔가요?,Why do you need personal information?,為什麼需要個人資訊？
"생년월일이 있어야 어린 사용자의 안전과 프라이버시를 제대로 보호할 수 있습니다. 또 성별 및 신장, 체중 정보를 통해 정확한 운동 처방을 제공드릴 수 있습니다.","We need your date of birth to properly protect the safety and privacy of young users.\nAdditionally, we can provide accurate exercise prescriptions based on gender, height, weight information.",我們需要您的出生日期，以妥善保護年輕用戶的安全和隱私。
위에서 수집된 데이터는 공유되지 않으며\n프로필에도 이 정보가 표시되지 않습니다.,The collected data will not\nbe shared and will not be displayed\nin your profile.,收集的資料不會被分享，也不會顯示在您的個人資料中。
신장,Height,高度
체중,Weight,重量
남,Male,男性
여,Female,女性
성별,Gender,性別
생년월일 (YYMMDD),Date of Birth (YYMMDD),出生日期（年月日）
회원님의 운동 수준을 알려주세요,Please let us know your level of exercise,請讓我們知道您的運動水平
"내 운동기록과 목적에 따라 무게, 횟수를\n자동으로 추천해 드려요.","Based on my exercise records and goals, We can automatically recommend weights and repetitions.",根據我的運動記錄和目標，我們可以自動推薦重量和重複次數。
전문가,Expert,專家
저의 운동 수준은 수준급이에요,My level of exercise is advanced.,我的運動水準很高。
고급,Advanced,先進的
하루라도 운동을 빠지면 안되는\n운동 중독이에요,I'm an exercise addict who can't go a day without working out.,我是運動成癮者，一天不運動。
중급,Intermediate,中間的
당당하게 운동이 취미라 할 수 있어요,I can confidently say that exercise is my hobby.,我可以自信地說，運動是我的興趣。
초급,Beginner,初學者
본격적으로 운동할 준비가 되었어요,I'm ready to start exercising seriously.,我準備開始認真運動了。
입문,Introduction,介紹
운동에 대해서 아무것도 몰라요,I know nothing about exercise.,我對運動一無所知。
체중 감량을 하고싶어요.,I want to lose weight.,我想減肥。
칼로리 소비를 효율적으로 높일 수 있는 프로그램을\n추천해드릴게요!,We will recommend a program that can efficiently increase calorie consumption.,我們將推薦一個可以有效增加卡路里消耗的計劃。
근력을 키우고 싶어요.,I want to increase muscle strength.,我想增加肌肉力量。
효율적으로 힘과 근기능을 발달할 수 있는 리앤핏만의 운동을\n추천해드릴게요!,We will recommend unique exercises from Renfit that can efficiently develop strength and muscle function.,我們將推薦 Renfit 的獨特練習，可以有效地增強力量和肌肉功能。
전반적인 체력 관리를 하고싶어요.,I want to manage overall fitness.,我想管理整體健身。
일상생활에 활력을 충전해주는 리앤핏만의 운동을\n추천해드릴게요!,We will recommend Renfit's exercises that will energize your daily life.,我們將推薦 Renfit 的練習，為您的日常生活注入活力。
매우 적은 활동,Very little activity,活動很少
"하루의 대부분을 앉아있고, 운동을 따로 하지 않아요.",I spend most of my day sitting and do not exercise separately.,我一天的大部分時間都是坐著的，不會單獨運動。
가벼운 활동,Light activity,輕度活動
"앉아있는 시간이 길지만, 운동을 주 1~3회 정도 해요.","I sit for long periods, but I exercise 1-3 times a week.",我坐的時間很長，但每週運動 1-3 次。
중간 정도의 활동,Moderate activity,適度活動
"일과 종종 움직이며, 운동을 주 3~5회 정도 해요.",I move around occasionally during the day and exercise 3-5 times a week.,我白天偶爾走動，每週運動 3-5 次。
매우 많은 활동,A lot of activity,大量的活動
"많은 움직임이 있으며, 운동을 주 6~7회 정도 해요.",I have a lot of movement and exercise 6-7 times a week.,我的運動量很大，每週運動6-7次。
격렬한 활동,Intense activity,劇烈活動
완력 등 운동 능력을 많이 사용하는 직업을 가지고 있어요.,"I have a job that requires a lot of physical activity, such as heavy lifting.",我的工作需要大量體力活動，例如提重物。
관절 문제로 인한 통증(관절염 등)또는 골절 등의\n문제가 있습니까?,Do you have joint pain (such as arthritis) or problems like fractures?,您有關節疼痛（如關節炎）或骨折等問題嗎？
심장이나 호흡기질환이 있습니까? (고혈압 등),"Do you have any cardiovascular or respiratory diseases? (e.g., high blood pressure)",您有心血管或呼吸系統疾病嗎？ （例如高血壓）
"대사질환으로 인한 문제가 있습니까? (당뇨병, 비만 등)","Do you have any metabolic disorders? (diabetes, obesity, etc.)",您有任何代謝紊亂嗎？ （糖尿病、肥胖等）
"척추손상으로 인한 문제가 있습니까?\n(디스크탈출, 협착증, 분리증 등)","Do you have any spinal problems? (herniated disc, stenosis, spondylolisthesis, etc.)",你有脊椎問題嗎？ （椎間盤突出、椎管狹窄、脊椎滑脫等）
회원님의 운동 목적을 알려주세요,Please let us know your exercise goals.,請讓我們知道您的鍛鍊目標。
회원님의 평소 활동량을 알려주세요,Please let us know your usual activity level.,請讓我們知道您平時的活動量。
평소 움직이는 정도와 운동량을 생각해보시고\n선택해주세요!,"Think about your usual level of movement and exercise, and make a selection.",考慮一下您平時的運動和鍛鍊水平，然後做出選擇。
운동 사전 위험도 평가,Pre-Exercise Risk Assessment,運動前風險評估
질문에 따라 예 / 아니요를 선택을 해주세요.,Please select Yes or No for each question.,請為每個問題選擇“是”或“否”。
네,Yes,是的
아니요,No,不
의학 전문가의 상담이 필요합니다.,You need a consultation with a medical professional.,您需要諮詢醫療專業人員。
로그인,Login,登入
"리앤핏과 함께 실패없는 운동, 시작해보세요.",Get started with Renfit for a successful workout.,開始使用 Renfit 進行成功的鍛鍊。
무게 총량,Total Weight,總重量
1RM 측정을 해주세요!,Measure 1RM!,測量1RM！
목표까지 @value 남았어요!,@value left to target!,@剩下的目標值！
목표를 달성했어요!,Goal Achieved!,目標達到了！
클라이밋 층 수,Number of Climbs,攀登次數
층,Floors,樓層
걸음,Steps,步驟
현재 걸음 수,Current Steps,目前步驟
최근,Recently,最近
월,Mon,週一
화,Tue,星期二
수,Wed,週三
목,Thu,星期四
금,Fri,週五
토,Sat,星期六
일,Sun,星期日
걸음수,Steps,步驟
클라이밋 유산소,Renfit Cardio,倫菲特有氧運動
활동 에너지,Calories Burned,燃燒的卡路里
근력 무게 총량,Total Muscle Weight,肌肉總重
Program,Program,程式
Welcome !,Welcome!,歡迎！
"반가워요, @userName님","Welcome, @userName!",歡迎，@userName！
목표,Goals,目標
루틴,Routine,常規
목표를 설정해주세요!,Set your goals!,設定你的目標！
가슴 · 등\n힘 차이,Chest/Back\nPower Difference,胸部/背部\n力量差異
측정중..,Measuring...,測量...
하체 전 · 후방\n힘 차이,Lower Body\nPower Difference,下半身\n力量差異
1RM 측정된 데이터가 없습니다.,No 1RM data available.,沒有可用的 1RM 數據。
회차,-round,#NAME?
심박평가,Heart Rate,心率
목표심박,Target Heart Rate,目標心率
안정시\n심박수,Resting\nHeart Rate,靜止\n心率
운동시\n평균 심박수,Average\nHeart Rate,平均\n心率
운동시\n최대 심박수,Maximum\nHeart Rate,最大\n心率
심박수를 측정해 주세요,Measure your heart rate,測量您的心率
휴식,Rest,休息
안정,Stability,穩定
운동,Exercise,鍛鍊
고강도 운동,Intensive Exercise,強化運動
위험영역,Dangerous Zone,危險區域
근력운동,Muscular Exercise,肌肉鍛鍊
유산소운동,Aerobic Activity,有氧活動
근력 힘차이,Muscle Strength Difference,肌力差異
근력 힘차이에 따라 처방 운동이 제공됩니다.,Exercise prescriptions will be provided based on the difference in muscle strength.,將根據肌肉力量的差異提供運動處方。
근력 힘 측정 평가 (1RM),Muscle Str. Measurement (1RM),肌肉力量。測量（1RM）
준비 중 입니다.,Coming soon,即將推出
운동 분석,Exercise Analysis,運動分析
리포트,Report,報告
변화,History,歷史
신고/문의사항이 있으시면\n연락주세요,"If you have any reports or inquiries, please contact us.",如果您有任何報告或疑問，請與我們聯絡。
카카오톡 문의하기,Contact us via KakaoTalk,透過 KakaoTalk 聯絡我們
소중한 피드백을 보내주세요.,Please send us your valuable feedback.,請將您的寶貴回饋發送給我們。
고객센터,Customer Service,客戶服務
상담시간,Consultation Hours,諮詢時間
평일,Weekday,工作日
이외 시간은 카카오 문의로 남겨주시면 순차적으로 연락드리겠습니다.,"For other times, please leave a message on KakaoTalk, and we will contact you in order.",其他時間請在KakaoTalk留言，我們會依序聯絡您。
공지사항,Notice,注意
정말 탈퇴하시나요?,Are you sure you want to leave?,您確定要離開嗎？
탈퇴하려는 이유를 알려주시면\n더 좋은 서비스를 만들기 위해 참고하겠습니다.,"Please let us know the reason for your withdrawal,\nso we can use it as reference to improve our service.",請告知我們您提款的原因，\n以便我們可以將其作為改進服務的參考。
운동을 잘 하지않아요,I don't exercise regularly.,我不常運動。
자유로운 의견을 들려주세요!,Please feel free to give your opinion!,請隨意發表您的意見！
리앤핏을 사용하는 회원님들은 4배나 더 꾸준히 했답니다! 다시 도전해보지 않으시겠어요?,Members who use Renfit\nare 4 times more consistent!\nWould you like to give it another try?,使用 Renfit 的會員\n一致性提高了 4 倍！
재도전!,Try Again!,再試一次！
포기할래요!,I want to give up!,我想放棄！
탈퇴 사유를 선택해주세요,Please select the reason for withdrawal,請選擇提款原因
반드시 확인해주세요,Please check it out,請檢查一下
"리앤핏 회원탈퇴 시, 내 프로필(소속 포함), 운동기록 데이터, 그 외 사용자가 설정한 모든 정보가 사라지며 복구가 불가능 합니다.","When you withdraw from Renfit, your profile (including affiliations), exercise records, and all other user-set information will be deleted and cannot be recovered.",當您退出 Renfit 時，您的個人資料（包括隸屬關係）、鍛鍊記錄以及所有其他使用者設定的資訊將被刪除且無法恢復。
"리앤핏 센터에 유효한 회원인 경우 앱을 탈퇴하더라도 피트니스 센터 웹을 통해 회원님의 예약, 운동검사 기록 등의 데이터는 계속 생성될 수 있습니다.","If you are a valid member of Renfit Center, even if you withdraw from the app, your data such as reservations and exercise test records will continue to be generated through the Fitness Center web service.",如果您是Renfit Center的有效會員，即使您退出應用程序，您的預訂和運動測試記錄等數據將繼續透過Fitness Center網路服務產生。
개인정보 처리방침에 따라 예외적 상황에 해당하지 않은 경우 회원 탈퇴 후 정보가 사라지므로 필요한 정보는 탈퇴 전 미리 저장해주세요.,"According to the privacy policy, if it does not fall under exceptional circumstances, information will be deleted after withdrawal, so please save any necessary information before withdrawing.",根據隱私權政策，如無特殊情況，退出後資訊將被刪除，因此請在退出前保存必要的資訊。
모든 정보를 삭제하는 것에 동의합니다.,I agree to delete all my information.,我同意刪除我的所有資訊。
안정시 심박수,Resting Heart Rate,靜止心率
심폐지구력 운동 검사를 위해\n안정시 심박수를 입력해주세요!,Please enter your resting heart rate for cardiorespiratory fitness assessment!,請輸入您的靜止心率以進行心肺健康評估！
안정시 심박수 측정법,Resting Heart Rate Measurement,靜止心率測量
스마트 워치 또는 센터 내 자동혈압계를 이용하여 측정합니다. 가까운 의자에 편하게 앉아서 깊고 느린 호흡(심호흡) 15회 해주세요.,Measure using a smartwatch or automatic blood pressure monitor in the center.\nSit comfortably in a nearby chair and take deep and slow breaths (respirations) 15 times.,使用中心的智慧手錶或自動血壓監測儀進行測量。 \n舒適地坐在附近的椅子上，緩慢深呼吸（呼吸）15 次。
※ 리앤핏 회원의 경우 센터 트레이너와 함께 진행해주세요.,"※ For Renfit members, please proceed with the center trainer.",※ Renfit會員請在中心教練的指導下進行。
내정보,My Info,我的信息
키 / 체중,Height / Weight,身高/體重
운동수준,Exercise Level,運動水平
남성,Male,男性
여성,Female,女性
운동목적,Exercise Purpose,鍛鍊目的
정보없음,No Data,無數據
버전정보,Version Info,版本資訊
최신 @version 버전 사용 중,@version,@版本
회원탈퇴,Membership Withdrawal,退出會員資格
(주)론픽,"Ronfic Co., Ltd.",朗菲克有限公司
사업자 등록번호 287-88-00245ㅣ대표 백준영,Business Registration Number: 287-88-00245 | CEO: Baek Jun Young,商業登記號碼：287-88-00245 |執行長：白俊英
전화번호 051-637-6285,Phone Number: 051-637-6285,電話號碼：051-637-6285
"주소 부산시 해운대구 재송동 1208-2, 센텀스카이비즈 A동 1411호","Address: 1208-2, Jangseong-dong, Haeundae-gu, Busan, 1411 Centum Sky Biz A-dong",地址：釜山廣域市海雲台區長城洞1208-2，Centum Sky Biz A洞1411
이메일 info@ronfic.com,Email: info@ronfic.com,電子郵件：info@ronfic.com
멤버번호,Member Number,會員編號
리앤핏 머신 사용을 위한 ‘멤버번호’입니다.,The 'Member Number' is required\nfor using Renfit machines.,使用 Renfit 機器時需要\n「會員號碼」。
활동,Activity,活動
랭킹,Ranking,排行
API 응답없음,API Unresponsive,API 無回應
오류가 발생했습니다 : @error_code,An error has occurred: @error_code,發生錯誤：@error_code
Loading,Loading,載入中
Unexpected error occurred,An unexpected error occurred,發生意外錯誤
Bad Request,Bad Request,錯誤的請求
Unable to process,Unable to process,無法處理
Api not responded in time,API not responded in time,API未及時回應
UnAuthorized request,Unauthorized request,未經授權的請求
확인,Confirm,確認
확인해주세요!,Please check it out!,請檢查一下！
"변경된 운동목적/수준에 따라\n운동 목표가 새롭게 제공되며,\n현재 제공된 목표 진행완료 후\n변경된 운동처방이 제공됩니다.","Depending on the changed exercise purpose/level, exercise goals will be provided a new. After the current goals are completed, modified exercise prescriptions will be provided",根據改變的運動目的/水平，將提供新的運動目標。當前目標完成後，將提供修改後的運動處方
국가번호,Country code,國家代碼
잠깐!,Hold On!,堅持，稍等！
이번주 활동 목표,Weekly Goal,每週目標
진행 중인 프로그램이 없어요!,No Available Programs,沒有可用的程序
서버 오류가 발생했습니다,A server error has occurred.,伺服器發生錯誤。
가입한 이메일 주소를 입력해 주세요.\n비밀번호 재설정을 위한 이메일을 보내드리겠습니다.,Please enter the email address you signed up for.\nWe will send you an email to reset your password.,請輸入您註冊時使用的電子郵件地址。
인증번호 발송,Send,傳送
올바른 전화 번호를 입력하십시오.,Please enter a valid phone number.,請輸入有效的電話號碼。
인증번호,Authentication Code,驗證碼
인증번호가 오지 않는다면?,Didn't receive the code?,沒有收到代碼？
재발송,Resend,重新發送
문자 메시지 및 데이터 요금이 부과될 수 있습니다.,Text message and data rates may apply.,可能需要支付簡訊費和數據費。
SMS가 이미 전송되었습니다.,SMS has already been sent.,簡訊已經發送。
인증 코드를 3분 이내에 받지 못한 경우에만 다른 SMS를 요청할 수 있습니다.,You can request another SMS only when you don't receive the verification code within 3 minutes,只有當您在3分鐘內未收到驗證碼時，您才可以再次要求短信
Gmail로 시작하기.,Login with Gmail,使用 Gmail 登入
Facebook으로 시작하기.,Login with Facebook,使用 Facebook 登入
리앤핏 회원가입을 환영합니다!,Welcome to Renfit!,歡迎來到倫菲特！
안녕하세요. 본인인증 메일을 귀하의\n,Hello. We have sent a verification email to,你好。我們已發送驗證電子郵件至
로 보냈습니다.\n가입절차를 마치기 위해\n본인인증 버튼을 클릭해주세요.,". To complete the signup process, please click the verification button.",若要完成註冊流程，請按一下驗證按鈕。
로그인 하기,Sign in,登入
가입되지 않은 이메일입니다,Unsubscribed Email,取消訂閱的電子郵件
대소문자를 구분하여 입력해 주세요,Please enter with consideration for letter case sensitivity.,輸入時請考慮字母大小寫。
비밀번호 재설정 링크를 보내드립니다.,We have sent the password reset link.,我們已發送密碼重設連結。
회원님의,We have sent an email to,我們已發送電子郵件至
로변경 요청했습니다.비밀번호를 변경 후 다시 로그인 해주세요.,"for password reset. After changing the password, please try to log in again.",用於密碼重置。更改密碼後，請嘗試重新登入。
내 회원권,My Membership,我的會員資格
이용 기한이,There's only,只有
@day일,@day days,@天日
밖에 남지 않았어요!,left until the expiration date!,留到過期日期！
리앤핏 회원권,Renfit Membership,倫菲特會員
구입한 회원권이 없어요,You don't have any purchased membership.,您沒有購買任何會員資格。
리앤핏 회원권 구경하러 가기,Visit Renfit Membership Plans,造訪 Renfit 會員計劃
계정연동,Linked accounts,關聯帳戶
간편로그인,Easy Login,輕鬆登入
SNS를 연동하여 더욱 편리하게 로그인해 보세요!,Link your SNS for a more convenient login experience!,連結您的SNS以獲得更便利的登入體驗！
카카오톡 계정,KakaoTalk Account,KakaoTalk 帳戶
네이버 계정,Naver Account,Naver帳戶
페이스북 계정,Facebook Account,臉書帳戶
애플 계정,Apple Account,蘋果帳戶
구글 계정,Google Account,谷歌帳戶
미연동,Not linked,未連結
연동완료,Linked,連結
@id 연동해제,Unlink @id,取消連結@id
Gmail로 로그인하기,Login with Gmail,使用 Gmail 登入
Facebook으로 로그인하기,Login with Facebook,使用 Facebook 登入
카카오로 로그인하기,Login with KakaoTalk,使用 KakaoTalk 登入
네이버로 로그인하기,Login with Naver,使用 Naver 登入
Apple로 로그인하기,Login with Apple,使用蘋果登入
회원권 결제 내역,Subscription Payment History,訂閱付款歷史
"이용권 요금은 결제 주기 시작일에 청구되며, 계정에 청구일이 표시될 때까지 수일이 걸릴 수 있습니다.","The subscription fee is charged on the billing cycle start date, and it may take several days for the billing date to appear on your account.",訂閱費用在計費週期開始日期收取，計費日期可能需要幾天時間才會顯示在您的帳戶上。
결제 내역이 없어요,No payment history found.,未找到付款記錄。
※ 결제 내역은 지난 1년 동안까지만 표시됩니다.,※ Payment history is displayed for the past 1 year only.,※ 僅顯示過去1年的付款記錄。
측정결과,Result,結果
근력 측정결과,Strength,力量
근기능 측정결과,Muscle function,肌肉功能
근기능이 아주 좋아요!\n꾸준히 유지해볼까요,Your muscle function is perfect.\nLet's keep it up\n,你的肌肉功能很完美。
근기능이 좋습니다!\n조금만 개선하면 아주 좋을거에요,Your muscle function is good.\nTry to make it perfect!\n\n,你的肌肉功能很好。
근기능이 부족합니다.\n운동으로 충분히 좋아질 수 있어요,Your muscle function is normal.\nExercise is needed to be better.\n\n,你的肌肉功能正常。
근기능의 개선이 시급합니다.\n우리 같이 운동을 시작해볼까요?,Your muscle function is bad\nLet's start work out together.\n,你的肌肉功能不好\n我們一起開始運動吧。
측정이 안된 부위가 있어요.\n모두 측정 후 다시 진행해주세요.,The measurement hasn't\ncompleted yet.,測量尚未完成。
회원번호,Client No.,客戶編號
나이,Age,年齡
성별,Sex,性別
남,M,中號
여,F,F
근기능 측정 결과,Muscle Function Measurement\nResults,肌肉功能測量\n結果
체중,Weight,重量
출력일,Print date,列印日期
yyyy-MM-dd HH:mm,"dd/MM/yyyy, HH:mm",日/月/年，時:分
미니플러스 근기능 종합 점수,Measurement Overall Score,測量總分
측정 결과 비교,Measurement Details,測量詳情
매우 약함,Imbalance,不平衡
균형,Balance,平衡
좌,L,左
우,R,右
전,F,正面
후,B,背面
yyyy-MM-dd,dd/MM/yyyy,日/月/年
상체 전면 좌:우,UE Front (L/R),UE 前（左/右）
상체 후면 좌:우,UE Back (L/R),UE 後（左/右）
몸통 좌:우,Trunk Rotation (L/R),軀幹旋轉（左/右）
상체 전:후,UE (Front/Back),UE（前/後）
하체 전:후,LE (Front/Back),LE（前/後）
측정 결과 | 항목별 최근 측정 데이터 기준,Measurement results | Based on the latest measurement data,測量結果|根據最新測量數據
항목별 힘차이 측정 결과,Detailed balance results,詳細的餘額結果
힘 차이가 거의 없습니다.,Your strength is balanced.,你的力量是平衡的。
표기된 %만큼 그래프가 빈 쪽이 약합니다.,Your balance is in normal range.,您的餘額在正常範圍內。
약한 쪽의 부상 위험이 증가됩니다.,Risk of injury'll increase on weaker side.,較弱的一側受傷的風險會增加。
데이터 없음,No data.,沒有數據。
항목 간 측정 일수의 차이가 많이 나는 경우(한 달 이상)\n정확한 결과를 위해 재측정이 필요합니다.,"If there is a large difference in the number of\nmeasurement days (more than a month),\nreassessment is required for accurate results.",如果測量天數相差較大（超過一個月），則需要重新評估以獲得準確的結果。
지난 결과와 비교,Exercise History,運動史
이전,Before,前
최근,Recent,最近的
측정이 필요합니다.,Measurement is\nneeded,需要測量
최초측정,Initial Data,初始數據
근기능 추세,Tracking Details,追蹤詳情
본 결과지의 추세 그래프는 최근 측정 결과 포함 10회까지의 추세만 보여줍니다.,The tracking details shows maximum 10 measurement results.,追蹤詳細資訊最多顯示 10 個測量結果。
"우리 몸의 다양한 종류의 근육들은 서로 다른 움직임을 만들어 냅니다. 이러한 근육들의 밸런스가 향상 될수록, 운동 수행 효과 향상,\n부상 및 통증 방지가 됩니다. 미니플러스 근기능 평가는 7가지 기능 테스트를 통해 우리 몸의 근력 밸런스를 측정하고 평가합니다.","A number of muscles in our body generates different movements. Balanced muscle strength would help improve\nexercise performance, pain control, and prevent injury risk. The Miniplus muscle function test measures and\nevaluates the muscle strength balance of our body through 7 kinds of movement tests.",我們體內的許多肌肉會產生不同的運動。平衡的肌肉力量有助於提高運動表現、控制疼痛並預防受傷風險。 Miniplus肌肉功能測試透過7種運動測試來測量和評估我們身體的肌肉力量平衡。
"종합 점수별 평가 등급 : 100~90점 (Very Good), 89~80점 (Good), 79~70점 (Normal), 69점~ (Bad)\n*평가 항목이 1건이라도 없을 경우, 종합 점수가 반영되지 않습니다.","Levels by Overall Score : 100~90 (Very Good), 89 ~ 80 (Good), 79 ~ 70 (Normal), 69 ~ (Bad)\nIf there is a missing data, overall score will not be shown.",總分等級：100~90（很好）、89~80（好）、79~70（一般）、69~（差）\n如果缺少數據，將不會顯示總分。
근기능 종합점수 산정 기준 |,How to calculate the overall score? |,總分如何計算？ |
평가항목을 각 20점 만점으로 종합 100점 산정,Total score of 100 points for\neach measurement data our of 20 points,總分為 100 分，\n每項測量數據共 20 分
회,Reps,代表
잠시만 기다려주세요,Please wait,請稍等
Miniplus 결과지,Miniplus Report,迷你加報告
Miniplus 결과지 생성중...,Generating report,產生報告
XIM 결과지 생성중...,Generating report,產生報告
평가,Evaluation,評估
몸무게,Weight,重量
XIM 종합 평가,Xim Total Evaluation,西姆綜合評價
종목별 근력 차이,Detailed Results\n,詳細結果\n
종목별 밸런스 차이,Detailed Results (muscular strength),詳細結果（肌肉力量）
측정 데이터 비교 - 측정 운동 기록 12회차,Comparison of measurement data,測量數據對比
근력점수,Strength Score,力量分數
순위,Rank,秩
점,Points,積分
연령•성별 대비\n상위,Top,頂部
