ko,en,tw
운동 준비물,Exercise Supplies,運動用品
준비물이 없습니다.,No supplies needed.,無需補給。
날짜,Date,日期
이미지,Image,影像
암 선택,Arm Selection,手臂選擇
왼쪽 암,Left Arm,左臂
사용 안함,Not Used,未使用
상하 핀번호 :,Up/Down Pin:,上/下銷：
좌우 핀번호 :,Side Pin:,側銷：
오른쪽 암,Right Arm,右臂
운동 동작 목록,Exercise List,練習清單
사용 머신 /운동부위,Used Machine /Body Part,二手機/車身零件
세트 구성,Set Config,設定配置
예상 운동 시간:,Estimated Exercise Time :,預計運動時間：
분,Minutes,分分鐘
운동 기간 :,Exercise Duration :,運動時間：
