key,en,ko
enter_valid_bpm,Please enter a valid BPM.,유효한 BPM을 입력해주세요.
no_internet_error,No internet connection,인터넷 연결 없음
cancel,Cancel,취소
logout,Logout,로그아웃
notification,Notification,알림
do_you_want_to_logout,Do you want to logout?,로그아웃 하시겠습니까?
reset_password,Reset Password,비밀번호 재설정
reset_password_desc,Reset your password using your phone number.,휴대폰 번호를 통한 비밀번호 재설정을 진행합니다.
next,Next,다음
find_id,Find ID,아이디 찾기
you_can_check_your_id_when_authenticate,You can check your ID when authenticating your phone number.,휴대폰 본인인증 시 아이디 확인이 가능합니다.
renfit_authentication1,Why is ,리앤핏 가입 시 
renfit_authentication2,RenFit Authentication,본인인증
renfit_authentication3, necessary when joining RenFit?,이\n필요한 이유가 뭔가요?
renfit_authentication_desc,RenFit conducts authentication to prevent identity theft and ensure accurate information through real-name verification.,"리앤핏은 명의도용 방지, 실명 확인을 통한 정확한 정보 제공을 위해 본인인증을 실시하고 있습니다."
id_verification,ID Verification,아이디 확인
id_verification_desc,List of IDs that match your information.,회원님의 정보와 일치하는 아이디 목록입니다.
go_to_login,Go to Login,로그인 하러가기
find_password,Find Password,비밀번호 찾기
information_does_not_match,There is no ID that matches the entered information.,입력하신 정보와 일치하는 아이디가 존재하지 않습니다.
go_to_sign_up,Go to Sign Up,회원가입 하러가기
please_wait_for_moment,Please wait a moment...,잠시만 기다려주세요...
id_email_text_field,ID (Email),아이디 (이메일)
password,Password,비밀번호
confirm_password,Confirm Password,비밀번호 확인
password_req_1,"Please enter a combination of letters, numbers, and special characters (8-20 characters).","영문, 숫자, 특수문자를 조합하여 8~20자로 입력해주세요"
can_use_password,You can use this password.,사용할 수 있는 비밀번호 입니다
password_does_not_match,Passwords do not match.,비밀번호가 일치하지 않습니다
password_matching,Passwords match!,비밀번호 일치!
phone_number,Phone Number,휴대폰 번호
close,Close,닫기
go_to_login_spaced,Go to Login,로그인 하러 가기
already_signed_up,You are already a member of RenFit.,이미 리앤핏 회원이시네요
already_member_sign_in,You are already a registered member. Do you want to proceed with the login?,이미 가입된 회원입니다.\n로그인을 진행할까요?
invalid_email_format,Invalid email format.,이메일 형식에 맞지 않습니다
this_email_in_use,This email is already in use.,이미 사용중인 아이디 입니다
available_to_use,This email is available to use.,사용할 수 있는 이메일 입니다
join_membership,Join Membership,회원가입
enter_login_info,Please enter the information for login!,로그인을 위한 정보를 입력해주세요!
will_proceed_with_mobile,We will proceed with the mobile phone number authentication.,휴대폰 번호를 통한 본인인증을 진행합니다.
profile_settings,Profile Settings,프로필 설정
setting_profile_improves_performance,Members who set up their profiles achieve their goals better!,프로필을 설정한 회원이 더 목표를 잘 해냈어요!
nick_name,Nickname,닉네임
change_edit,Change,변경
complete,Complete,완료
enter_membership_info,Enter Membership Information,회원정보 입력
enter_membership_info_desc,Please enter your information so that we can recommend the appropriate training methods based on your information!,회원님의 정보를 바탕으로 적절한 트레이닝 방법을\n추천해 드립니다. 정확한 정보를 입력해주세요!
reason_for_personal_info1,Why is personal and physical information required,리앤핏 가입 시
reason_for_personal_info2, when joining RenFit? , 개인 · 신체정보
reason_for_personal_info3,Why do you need personal information?,가\n필요한 이유가 뭔가요?
reason_for_personal_info_desc,"We need your date of birth to properly protect the safety and privacy of young users.\nAdditionally, we can provide accurate exercise prescriptions based on gender, height, weight information.","생년월일이 있어야 어린 사용자의 안전과 프라이버시를 제대로 보호할 수 있습니다. 또 성별 및 신장, 체중 정보를 통해 정확한 운동 처방을 제공드릴 수 있습니다."
reason_for_personal_info_desc2,The collected data will not\nbe shared and will not be displayed\nin your profile.,위에서 수집된 데이터는 공유되지 않으며\n프로필에도 이 정보가 표시되지 않습니다.
height_f,Height,신장
weight_f,Weight,체중
male,Male,남
female,Female,여
gender,Gender,성별
date_of_birth,Date of Birth (YYMMDD),생년월일 (YYMMDD)
tell_level_of_exercise,Please let us know your level of exercise,회원님의 운동 수준을 알려주세요
level_of_exercise_reason,"Based on your exercise records and goals, We can automatically recommend weights and repetitions.","내 운동기록과 목적에 따라 무게, 횟수를 자동으로 추천해 드려요."
expert_title,Expert,전문가
expert_desc,My level of exercise is advanced.,저의 운동 수준은 수준급이에요
advanced_title,Advanced,고급
advanced_desc,I'm an exercise addict who can't go a day without working out.,하루라도 운동을 빠지면 안되는 운동 중독이에요
intermediate_title,Intermediate,중급
intermediate_desc,I can confidently say that exercise is my hobby.,당당하게 운동이 취미라 할 수 있어요
beginner_title,Beginner,초급
beginner_desc,I'm ready to start exercising seriously.,본격적으로 운동할 준비가 되었어요
introduction_title,Introduction,입문
introduction_desc,I know nothing about exercise.,운동에 대해서 아무것도 몰라요
weight_loss_title,I want to lose weight.,체중 감량을 하고싶어요.
weight_loss_desc,We will recommend a program that can efficiently increase calorie consumption.,칼로리 소비를 효율적으로 높일 수 있는 프로그램을\n추천해드릴게요!
muscle_increase_title,I want to increase muscle strength.,근력을 키우고 싶어요.
muscle_increase_desc,We will recommend unique exercises from Renfit that can efficiently develop strength and muscle function.,효율적으로 힘과 근기능을 발달할 수 있는 리앤핏만의 운동을\n추천해드릴게요!
staying_healthy_title,I want to manage overall fitness.,전반적인 체력 관리를 하고싶어요.
staying_healthy_desc,We will recommend Renfit's exercises that will energize your daily life.,일상생활에 활력을 충전해주는 리앤핏만의 운동을\n추천해드릴게요!
survey3_1_title,Very little activity,매우 적은 활동
survey3_1_desc,I spend most of my day sitting and do not exercise separately.,"하루의 대부분을 앉아있고, 운동을 따로 하지 않아요."
survey3_2_title,Light activity,가벼운 활동
survey3_2_desc,"I sit for long periods, but I exercise 1-3 times a week.","앉아있는 시간이 길지만, 운동을 주 1~3회 정도 해요."
survey3_3_title,Moderate activity,중간 정도의 활동
survey3_3_desc,I move around occasionally during the day and exercise 3-5 times a week.,"일과 종종 움직이며, 운동을 주 3~5회 정도 해요."
survey3_4_title,A lot of activity,매우 많은 활동
survey3_4_desc,I have a lot of movement and exercise 6-7 times a week.,"많은 움직임이 있으며, 운동을 주 6~7회 정도 해요."
survey3_5_title,Intense activity,격렬한 활동
survey3_5_desc,"I have a job that requires a lot of physical activity, such as heavy lifting.",완력 등 운동 능력을 많이 사용하는 직업을 가지고 있어요.
survey4_question_1,Do you have joint pain (such as arthritis) or problems like fractures?,관절 문제로 인한 통증(관절염 등)또는 골절 등의\n문제가 있습니까?
survey4_question_2,"Do you have any cardiovascular or respiratory diseases? (e.g., high blood pressure)",심장이나 호흡기질환이 있습니까? (고혈압 등)
survey4_question_3,"Do you have any metabolic disorders? (diabetes, obesity, etc.)","대사질환으로 인한 문제가 있습니까? (당뇨병, 비만 등)"
survey4_question_4,"Do you have any spinal problems? (herniated disc, stenosis, spondylolisthesis, etc.)","척추손상으로 인한 문제가 있습니까?\n(디스크탈출, 협착증, 분리증 등)"
purpose_of_exercise,Please let us know your exercise goals.,회원님의 운동 목적을 알려주세요
how_much_do_you_do,Please let us know your usual activity level.,회원님의 평소 활동량을 알려주세요
how_much_do_you_do_desc,"Think about your usual level of movement and exercise, and make a selection.",평소 움직이는 정도와 운동량을 생각해보시고 선택해주세요!
pre_exercise_risk_assessment,Pre-Exercise Risk Assessment,운동 사전 위험도 평가
select_yes_or_no,Please select Yes or No for each question.,질문에 따라 예 / 아니요를 선택을 해주세요.
yes,Yes,네
no,No,아니요
need_medical_consultation,You need a consultation with a medical professional.,의학 전문가의 상담이 필요합니다.
login,Login,로그인
renfit_getting_started,Get started with Renfit for a successful workout.,"리앤핏과 함께 실패없는 운동, 시작해보세요."
total_weight,Total Weight,무게 총량
measure_1rm,Measure 1RM!,1RM 측정을 해주세요!
left_to_target_weight,@value left to target!,목표까지 @value 남았어요!
achieved_goal,Goal Achieved!,목표를 달성했어요!
number_of_climbs,Number of Climbs,클라이밋 층 수
unit_layer,Floors,층
unit_steps,Steps,걸음
number_of_steps,Current Steps, 현재 걸음 수
recently,Recently,최근
monday_half,Mon,월
tuesday_half,Tue,화
wednesday_half,Wed,수
thursday_half,Thu,목
friday_half,Fri,금
saturday_half,Sat,토
sunday_half,Sun,일
number_of_steps_short,Steps,걸음수
renfit_cardio,Renfit Cardio,클라이밋 유산소
cal_consumed,Calories Burned,활동 에너지
total_muscle_weight,Total Muscle Weight,근력 무게 총량
program,Program,Program
welcome,Welcome!,Welcome !
welcome_username,"Welcome, @userName!","반가워요, @userName님"
goals,Goals,목표
routine,Routine,루틴
set_goal,Set your goals!,목표를 설정해주세요!
chest_power_difference,Chest/Back\nPower Difference,가슴 · 등\n힘 차이
measuring,Measuring...,측정중..
lower_body_power_difference,Lower Body\nPower Difference,하체 전 · 후방\n힘 차이
no_1rm_data,No 1RM data available.,1RM 측정된 데이터가 없습니다.
round,-round,회차
heart_rate,Heart Rate,심박평가
target_heart_rate,Target Heart Rate,목표심박
rest_heart_rate,Resting\nHeart Rate,안정시\n심박수
average_heart_rate,Average\nHeart Rate,운동시\n평균 심박수
max_heart_rate,Maximum\nHeart Rate,운동시\n최대 심박수
check_heart_rate,Measure your heart rate,심박수를 측정해 주세요
rest,Rest,휴식
stability,Stability,안정
exercise,Exercise,운동
intensive_exercise,Intensive Exercise,고강도 운동
dangerous_area,Dangerous Zone,위험영역
muscular_exercise,Muscular Exercise,근력운동
aerobic_activity,Aerobic Activity,유산소운동
difference_muscle_strength,Muscle Strength Difference,근력 힘차이
difference_muscle_strength_desc,Exercise prescriptions will be provided based on the difference in muscle strength.,근력 힘차이에 따라 처방 운동이 제공됩니다.
1rm_measurement,Muscle Str. Measurement (1RM),근력 힘 측정 평가 (1RM)
in_ready,Coming soon,준비 중 입니다.
motor_analysis,Exercise Analysis,운동 분석
report,Report,리포트
change,History,변화
contact_us,"If you have any reports or inquiries, please contact us.",신고/문의사항이 있으시면\n연락주세요
inquire_kakao_talk,Contact us via KakaoTalk,카카오톡 문의하기
send_us_feedback,Please send us your valuable feedback.,소중한 피드백을 보내주세요.
customer_service,Customer Service,고객센터
consultation_time,Consultation Hours,상담시간
weekday,Weekday,평일
kakao_chat_desc,"For other times, please leave a message on KakaoTalk, and we will contact you in order.",이외 시간은 카카오 문의로 남겨주시면 순차적으로 연락드리겠습니다.
notice,Notice,공지사항
r_u_leaving,Are you sure you want to leave?,정말 탈퇴하시나요?
reason_of_leaving,"Please let us know the reason for your withdrawal,\nso we can use it as reference to improve our service.",탈퇴하려는 이유를 알려주시면\n더 좋은 서비스를 만들기 위해 참고하겠습니다.
do_not_workout,I don't exercise regularly.,운동을 잘 하지않아요
feel_free_to_give_ur_opinion,Please feel free to give your opinion!,자유로운 의견을 들려주세요!
would_you_like_to_try_again,Members who use Renfit\nare 4 times more consistent!\nWould you like to give it another try?,리앤핏을 사용하는 회원님들은 4배나 더 꾸준히 했답니다! 다시 도전해보지 않으시겠어요?
try_again,Try Again!,재도전!
want_to_give_up,I want to give up!,포기할래요!
reason_for_withdrawal,Please select the reason for withdrawal,탈퇴 사유를 선택해주세요
check_it_out,Please check it out,반드시 확인해주세요
withdrawal_consequences,"When you withdraw from Renfit, your profile (including affiliations), exercise records, and all other user-set information will be deleted and cannot be recovered.","리앤핏 회원탈퇴 시, 내 프로필(소속 포함), 운동기록 데이터, 그 외 사용자가 설정한 모든 정보가 사라지며 복구가 불가능 합니다."
withdrawal_consequences2,"If you are a valid member of Renfit Center, even if you withdraw from the app, your data such as reservations and exercise test records will continue to be generated through the Fitness Center web service.","리앤핏 센터에 유효한 회원인 경우 앱을 탈퇴하더라도 피트니스 센터 웹을 통해 회원님의 예약, 운동검사 기록 등의 데이터는 계속 생성될 수 있습니다."
withdrawal_consequences3,"According to the privacy policy, if it does not fall under exceptional circumstances, information will be deleted after withdrawal, so please save any necessary information before withdrawing.",개인정보 처리방침에 따라 예외적 상황에 해당하지 않은 경우 회원 탈퇴 후 정보가 사라지므로 필요한 정보는 탈퇴 전 미리 저장해주세요.
agree_to_delete_all,I agree to delete all my information.,모든 정보를 삭제하는 것에 동의합니다.
heart_rate_rest,Resting Heart Rate,안정시 심박수
heart_rate_rest_desc,Please enter your resting heart rate for cardiorespiratory fitness assessment!,심폐지구력 운동 검사를 위해\n안정시 심박수를 입력해주세요!
heart_rate_measurement,Resting Heart Rate Measurement,안정시 심박수 측정법
use_watch_to_measure,Measure using a smartwatch or automatic blood pressure monitor in the center.\nSit comfortably in a nearby chair and take deep and slow breaths (respirations) 15 times.,스마트 워치 또는 센터 내 자동혈압계를 이용하여 측정합니다. 가까운 의자에 편하게 앉아서 깊고 느린 호흡(심호흡) 15회 해주세요.
renfit_members_proceed_with_trainer,"※ For Renfit members, please proceed with the center trainer.",※ 리앤핏 회원의 경우 센터 트레이너와 함께 진행해주세요.
my_info,My Info,내정보
height_weight,Height / Weight,키 / 체중
exercise_level,Exercise Level,운동수준
male_full,Male,남성
female_full,Female,여성
exercise_purpose,Exercise Purpose,운동목적
no_information,No Data,정보없음
version_info,Version Info,버전정보
current_version,@version,최신 @version 버전 사용 중
membership_withdrawal,Membership Withdrawal,회원탈퇴
ronfic_title,"Ronfic Co., Ltd.",(주)론픽
ronfic_desc1,Business Registration Number: 287-88-00245 | CEO: Baek Jun Young,사업자 등록번호 287-88-00245ㅣ대표 백준영
ronfic_desc2,Phone Number: 051-637-6285,전화번호 051-637-6285
ronfic_desc3,"Address: 1208-2, Jangseong-dong, Haeundae-gu, Busan, 1411 Centum Sky Biz A-dong","주소 부산시 해운대구 재송동 1208-2, 센텀스카이비즈 A동 1411호"
ronfic_desc4,Email: info@ronfic.com,이메일 info@ronfic.com
member_number,Member Number,멤버번호
member_number_desc,The 'Member Number' is required\nfor using Renfit machines.,리앤핏 머신 사용을 위한 ‘멤버번호’입니다.
activity,Activity,활동
ranking,Ranking,랭킹
api_unresponsive,API Unresponsive,API 응답없음
error_has_occurred,An error has occurred: @error_code,오류가 발생했습니다 : @error_code
loading,Loading,Loading
unexpected_error_occurred,An unexpected error occurred,Unexpected error occurred
bad_request,Bad Request,Bad Request
unable_to_process,Unable to process,Unable to process
api_not_responded_in_time,API not responded in time,Api not responded in time
unauthorized_request,Unauthorized request,UnAuthorized request
check,Confirm,확인
please_check_it_out,Please check it out!,확인해주세요!
details_of_changes,"Depending on the changed exercise purpose/level, exercise goals will be provided a new. After the current goals are completed, modified exercise prescriptions will be provided","변경된 운동목적/수준에 따라\n운동 목표가 새롭게 제공되며,\n현재 제공된 목표 진행완료 후\n변경된 운동처방이 제공됩니다."
county_code,Country code,국가번호
hold_on,Hold On!,잠깐!
weekly_goal,Weekly Goal,이번주 활동 목표
no_program,No Available Programs,진행 중인 프로그램이 없어요!
server_error,A server error has occurred.,서버 오류가 발생했습니다 
enter_registered_email_to_reset,Please enter the email address you signed up for.\nWe will send you an email to reset your password.,가입한 이메일 주소를 입력해 주세요.\n비밀번호 재설정을 위한 이메일을 보내드리겠습니다.
send_sms,Send,인증번호 발송
enter_valid_phone_number,Please enter a valid phone number.,올바른 전화 번호를 입력하십시오.
verification_code,Authentication Code,인증번호
did_not_receive_code,Didn't receive the code?,인증번호가 오지 않는다면?
resend,Resend,재발송
data_rate_might_apply,Text message and data rates may apply.,문자 메시지 및 데이터 요금이 부과될 수 있습니다.
sms_already_sent,SMS has already been sent.,SMS가 이미 전송되었습니다.
wait_for_timer,You can request another SMS only when you don't receive the verification code within 3 minutes,인증 코드를 3분 이내에 받지 못한 경우에만 다른 SMS를 요청할 수 있습니다.
login_with_gmail,Login with Gmail,Gmail로 시작하기
login_with_facebook,Login with Facebook,Facebook으로 시작하기.
welcome_renfit,Welcome to Renfit!,리앤핏 회원가입을 환영합니다!
verify_email1,Hello. We have sent a verification email to ,안녕하세요. 본인인증 메일을 귀하의\n
verify_email2,". To complete the signup process, please click the verification button.",로 보냈습니다.\n가입절차를 마치기 위해\n본인인증 버튼을 클릭해주세요.
login_,Sign in,로그인 하기
unsubscribed_email,Unsubscribed Email,가입되지 않은 이메일입니다
case_sensitive,Please enter with consideration for letter case sensitivity.,대소문자를 구분하여 입력해 주세요
we_sent_email,We have sent the password reset link.,비밀번호 재설정 링크를 보내드립니다.
we_sent_email_desc_1,We have sent an email to ,회원님의 
we_sent_email_desc_2," for password reset. After changing the password, please try to log in again.",로변경 요청했습니다.비밀번호를 변경 후 다시 로그인 해주세요.
my_membership,My Membership,내 회원권
days_left_1,There's only ,이용 기한이 
days_left_2,@day days ,@day일
days_left_3,left until the expiration date!,밖에 남지 않았어요!
renfit_membership,Renfit Membership,리앤핏 회원권
no_membership_text,You don't have any purchased membership.,구입한 회원권이 없어요
see_membership_plan,Visit Renfit Membership Plans,리앤핏 회원권 구경하러 가기
link_account,Linked accounts,계정연동
easy_login,Easy Login,간편로그인
easy_login_desc,Link your SNS for a more convenient login experience!,SNS를 연동하여 더욱 편리하게 로그인해 보세요!
kakao_account,KakaoTalk Account,카카오톡 계정
naver_account,Naver Account,네이버 계정
facebook_account,Facebook Account,페이스북 계정
apple_account,Apple Account,애플 계정
google_account,Google Account,구글 계정
unlinked,,미연동
linked,Linked,연동완료
unlink_id,Unlink @id,@id 연동해제
login_gmail,Login with Gmail,Gmail로 로그인하기
login_facebook,Login with Facebook,Facebook으로 로그인하기
login_kakao,Login with KakaoTalk,카카오로 로그인하기
login_naver,Login with Naver,네이버로 로그인하기
login_apple,Login with Apple,Apple로 로그인하기
payment_history,Subscription Payment History,회원권 결제 내역
payment_history_desc,"The subscription fee is charged on the billing cycle start date, and it may take several days for the billing date to appear on your account.","이용권 요금은 결제 주기 시작일에 청구되며, 계정에 청구일이 표시될 때까지 수일이 걸릴 수 있습니다."
no_payment_history,No payment history found.,결제 내역이 없어요
add_subscription,+ Add Subscription,+ 회원권 추가
payment_details_displayed,※ Payment history is displayed for the past 1 year only.,※ 결제 내역은 지난 1년 동안까지만 표시됩니다.
result,Result,측정결과
strength,Strength,근력 측정결과
muscle_funtion,Muscle function,근기능 측정결과
mr_comment_very_good,Your muscle function is perfect.\nLet's keep it up\n,근기능이 아주 좋아요!\n꾸준히 유지해볼까요
mr_comment_good,Your muscle function is good.\nTry to make it perfect!\n\n,근기능이 좋습니다!\n조금만 개선하면 아주 좋을거에요
mr_comment_normal,Your muscle function is normal.\nExercise is needed to be better.\n\n,근기능이 부족합니다.\n운동으로 충분히 좋아질 수 있어요
mr_comment_bad,Your muscle function is bad\nLet's start work out together.\n,근기능의 개선이 시급합니다.\n우리 같이 운동을 시작해볼까요?
mr_comment_no_data,The measurement hasn't\ncompleted yet.,측정이 안된 부위가 있어요.\n모두 측정 후 다시 진행해주세요.
mr_client_id,Client No.,회원번호
mr_age,Age,나이
mr_sex,Sex,성별
mr_male,M,남
mr_female,F,여
mr_muscle_function_measurement,Muscle Function Measurement\nResults,근기능 측정 결과
mr_weight,Weight,체중
mr_print_date,Print date,출력일
mr_print_date_format,"dd/MM/yyyy, HH:mm",yyyy-MM-dd HH:mm
mr_miniplus_overall_score,Measurement Overall Score,미니플러스 근기능 종합 점수
mr_measurement_details,Measurement Details,측정 결과 비교
mr_imbalance,Imbalance,매우 약함
mr_balance,Balance,균형
mr_left,L,좌
mr_right,R,우
mr_front,F,전
mr_back,B,후
mt_date_format_pie,dd/MM/yyyy,yyyy-MM-dd
mr_push,UE Front (L/R),상체 전면 좌:우
mr_pull,UE Back (L/R),상체 후면 좌:우
mr_rot,Trunk Rotation (L/R),몸통 좌:우
mr_upper,UE (Front/Back),상체 전:후
mr_lower,LE (Front/Back),하체 전:후
mr_right_top_description,Measurement results | Based on the latest measurement data,측정 결과 | 항목별 최근 측정 데이터 기준
mr_detailed_balance_result,Detailed balance results,항목별 힘차이 측정 결과
mr_pie_chart_comment_good,Your strength is balanced.,힘 차이가 거의 없습니다.
mr_pie_chart_comment_normal,Your balance is in normal range.,표기된 %만큼 그래프가 빈 쪽이 약합니다.
mr_pie_chart_comment_bad,Risk of injury'll increase on weaker side.,약한 쪽의 부상 위험이 증가됩니다.
mr_pie_chart_comment_none,No data.,데이터 없음
mr_warming_text,"If there is a large difference in the number of\nmeasurement days (more than a month),\nreassessment is required for accurate results.",항목 간 측정 일수의 차이가 많이 나는 경우(한 달 이상)\n정확한 결과를 위해 재측정이 필요합니다.
mr_exercise_history,Exercise History,지난 결과와 비교
mr_before,Before,이전
mr_recent,Recent,최근
mr_no_data_line_chart,Measurement is\nneeded,측정이 필요합니다.
mr_initial_data,Initial Data,최초측정
mr_tracking_details,Tracking Details,근기능 추세
mr_tracking_comment,The tracking details shows maximum 10 measurement results.,본 결과지의 추세 그래프는 최근 측정 결과 포함 10회까지의 추세만 보여줍니다.
mr_end_comment,"A number of muscles in our body generates different movements. Balanced muscle strength would help improve\nexercise performance, pain control, and prevent injury risk. The Miniplus muscle function test measures and\nevaluates the muscle strength balance of our body through 7 kinds of movement tests.","우리 몸의 다양한 종류의 근육들은 서로 다른 움직임을 만들어 냅니다. 이러한 근육들의 밸런스가 향상 될수록, 운동 수행 효과 향상,\n부상 및 통증 방지가 됩니다. 미니플러스 근기능 평가는 7가지 기능 테스트를 통해 우리 몸의 근력 밸런스를 측정하고 평가합니다."
mr_end_comment2,"Levels by Overall Score : 100~90 (Very Good), 89 ~ 80 (Good), 79 ~ 70 (Normal), 69 ~ (Bad)\nIf there is a missing data, overall score will not be shown.","종합 점수별 평가 등급 : 100~90점  (Very Good), 89~80점 (Good), 79~70점 (Normal), 69점~ (Bad)\n*평가 항목이 1건이라도 없을 경우, 종합 점수가 반영되지 않습니다."
mr_how_to_calculate,How to calculate the overall score?  |  ,근기능 종합점수 산정 기준 |  
mr_how_to_calculate_solution,Total score of 100 points for\neach measurement data our of 20 points,평가항목을 각 20점 만점으로 종합 100점 산정
mr_rep,,회
please_wait,Please wait,잠시만 기다려주세요
miniplus_report,Miniplus Report,Miniplus 결과지
miniplus_report_loading,Generating report,Miniplus 결과지 생성중...
xim_report_loading,Generating report,XIM 결과지 생성중...
evaluation,Evaluation,평가
weight_,Weight,몸무게
xim_evaluation,Xim Total Evaluation,XIM 종합 평가
muscular_strength,Detailed Results\n,종목별 근력 차이
exercise_history,Detailed Results (muscular strength),종목별 밸런스 차이
comparison_of_measurement_data,Comparison of measurement data,측정 데이터 비교 - 측정 운동 기록 12회차
muscle_strength_score,Strength Score,근력점수
xim_ranking,Rank,순위
xim_score,,점
xim_top,Top,연령•성별 대비\n상위
xim_overall_score,Total Score,종합 점수
xim_strength_level,Evaluate the strength level through 1RM test,각 종목별 1RM 테스트를 통해 근력 수준을 평가합니다.
xim_evaluation_strength_score,Xim Strength Score,XIM 평가 근력 점수
xim_evaluation_result,"Provide a strength score depending on individual’s age, sex, body weight through ACSM guideline.","ACSM 가이드라인을 기준으로 각 운동별로 나이, 성별, 몸무게를 고려하여 본인의 근력 수준을 점수로 표현합니다."
xim_evaluation_report,Xim Balance Score,XIM 평가 밸런스 점수
xim_final_description,Provide a balance score by measuring strength difference between left and right side. Unbalanced strength might lead to occur injuries in a higher chance when exercising.  ,왼쪽과 오른쪽의 힘 밸런스를 측정하여 차이에 대한 수치를 점수로 표현합니다.운동 시 힘의 밸런스가 맞지 않다면 신체적으로 불균형한 근육 발달이 일어날 뿐 아니라 약화된 부위에 대한 부상의 위험도 커지게 됩니다. 
note,Note,비고
bench_press,Bench Press,벤치 프레스
lat_pull_down,Lat Pull Down,렛 풀 다운
SHOULDER001,Shoulder Press,숄더 프레스
BACK001,Deadlift,데드리프트
print,Print,인쇄
share,Share,공유
miniplus_report_description,There are no measurement results.\nPlease proceed with the muscle strength\nmeasurement on the heart machine!,측정 결과가 없습니다.\n심 머신에서 근력 측정을 진행해주세요!
TYPE_00008,Bench Press,벤치 프레스
TYPE_00015,Shoulder Press,숄더 프레스
TYPE_00003,Lat Pull Down,렛 풀 다운
TYPE_00002,Deadlift,데드리프트
shoulder_custom,Shoulder\n  Press,숄더 프레스
membership_info_1,Membership,회원권
membership_info_2,Myongji branch,명지점
membership_info_desc,Choose a membership and start working out with Renfit!,회원권을 선택하고 리앤핏에서 운동을 시작해보세요!
membership_renfit,Renfit Membership,리앤핏 회원권
month, month,개월
regular_price,Price,정상가
won, won,원
open_event,Open Event,오픈이벤트
membership_information,Membership Information,회원권 관련 안내사항
view_privacy_and_policy,View details,표준 이용 약관 보기
please_select_membership,Please select a membership,회원권을 선택해 주세요
select_membership,Select Membership,회원권 선택
not_available_on_kiosk,This feature is not available on the kiosk. Please use the mobile application to access this function.,이 기능은 키오스크에서 사용할 수 없습니다. 이 기능을 이용하려면 모바일 애플리케이션을 사용해주세요.
logged_in,Logged in,로그인 되었습니다.
overall_ranking,Overall Ranking,모두의 순위
my_ranking,My Ranking,당신의 순위
attendance,Attendance,출석
exercise_time,Exercise Time,운동시간
total_strength,Total Strength Training,근력\n운동 총량
aerobic_calories_burned,Aerobic Calories Burned,유산소\n소모칼로리
2-min-step,2-Min Step,2분 스탭
rank,@rank,@rank위
days,@day Days,@day 일
duration,@hour:@minute,@hour시간@minute분
kg,@kg Kg,@kgKg
kcal,@kcal Kcal,@kcal Kcal
steps,@step Steps,@step 스탭수
daily_workout,Daily Information,일일 데이터
sets,Set,세트
reps,Reps,갯수
target,Target Weight,운동 총량
