key,en,ko,tw,new_word
etc,Other,기타,其他,existing
agree_to_delete,Please agree to the information deletion,정보 삭제 동의를 해주세요,請同意資訊刪除,existing
enter_valid_bpm,Please enter a valid BPM.,유효한 BPM을 입력해주세요.,請輸入有效的 BPM。,existing
no_internet_error,No internet connection,인터넷 연결 없음,沒有網路連線,existing
cancel,Cancel,취소,取消,existing
logout,Logout,로그아웃,退出,existing
notification,Notification,알림,通知,existing
do_you_want_to_logout,Do you want to logout?,로그아웃 하시겠습니까?,您想退出嗎？,existing
reset_password,Reset Password,비밀번호 재설정,重設密碼,existing
reset_password_desc,Reset your password using your phone number.,휴대폰 번호를 통한 비밀번호 재설정을 진행합니다.,使用您的電話號碼重設密碼。,existing
next,Next,다음,下一個,existing
find_id,Find ID,아이디 찾기,尋找身分證,existing
you_can_check_your_id_when_authenticate,You can check your ID when authenticating your phone number.,휴대폰 본인인증 시 아이디 확인이 가능합니다.,您可以在驗證電話號碼時檢查您的 ID。,existing
renfit_authentication1,Why is ,리앤핏 가입 시,為什麼是,existing
renfit_authentication1,Why is ,리앤핏 가입 시,為什麼需要個人和身體訊息,existing
renfit_authentication2,RenFit Authentication,본인인증,仁菲認證,existing
renfit_authentication3, necessary when joining RenFit?,이\n필요한 이유가 뭔가요?,加入RenFit時有必要嗎？,existing
renfit_authentication_desc,RenFit conducts authentication to prevent identity theft and ensure accurate information through real-name verification.,"리앤핏은 명의도용 방지, 실명 확인을 통한 정확한 정보 제공을 위해 본인인증을 실시하고 있습니다.",RenFit透過實名認證進行身份驗證，防止身分盜用並確保資訊準確。,existing
id_verification,ID Verification,아이디 확인,身份驗證,existing
id_verification_desc,List of IDs that match your information.,회원님의 정보와 일치하는 아이디 목록입니다.,與您的資訊相符的 ID 清單。,existing
go_to_login,Go to Login,로그인 하러가기,前往登入,existing
find_password,Find Password,비밀번호 찾기,尋找密碼,existing
information_does_not_match,There is no ID that matches the entered information.,입력하신 정보와 일치하는 아이디가 존재하지 않습니다.,沒有與輸入的資訊相符的 ID。,existing
go_to_sign_up,Go to Sign Up,회원가입 하러가기,前往註冊,existing
please_wait_for_moment,Please wait a moment...,잠시만 기다려주세요...,請稍等...,existing
id_email_text_field,ID (Email),아이디 (이메일),身分證（電子郵件）,existing
password,Password,비밀번호,密碼,existing
confirm_password,Confirm Password,비밀번호 확인,確認密碼,existing
password_req_1,"Please enter a combination of letters, numbers, and special characters (8-20 characters).","영문, 숫자, 특수문자를 조합하여 8~20자로 입력해주세요",請輸入字母、數字和特殊字元（8-20 個字元）的組合。,existing
can_use_password,You can use this password.,사용할 수 있는 비밀번호 입니다,您可以使用該密碼。,existing
password_does_not_match,Passwords do not match.,비밀번호가 일치하지 않습니다,密碼不符。,existing
password_matching,Passwords match!,비밀번호 일치!,密碼匹配！,existing
phone_number,Phone Number,휴대폰 번호,電話號碼,existing
close,Close,닫기,關閉,existing
go_to_login_spaced,Go to Login,로그인 하러 가기,前往登入,existing
already_signed_up,You are already a member of RenFit.,이미 리앤핏 회원이시네요,您已經是 RenFit 的會員。,existing
already_member_sign_in,You are already a registered member. Do you want to proceed with the login?,이미 가입된 회원입니다.\n로그인을 진행할까요?,您已經是註冊會員了。您想繼續登入嗎？,existing
invalid_email_format,Invalid email format.,이메일 형식에 맞지 않습니다,電子郵件格式無效。,existing
this_email_in_use,This email is already in use.,이미 사용중인 아이디 입니다,該電子郵件已被使用。,existing
available_to_use,This email is available to use.,사용할 수 있는 이메일 입니다,該電子郵件可供使用。,existing
join_membership,Join Membership,회원가입,加入會員,existing
enter_login_info,Please enter the information for login!,로그인을 위한 정보를 입력해주세요!,請輸入資訊進行登入！,existing
will_proceed_with_mobile,We will proceed with the mobile phone number authentication.,휴대폰 번호를 통한 본인인증을 진행합니다.,我們將進行手機號碼認證。,existing
profile_settings,Profile Settings,프로필 설정,設定檔設定,existing
setting_profile_improves_performance,Members who set up their profiles achieve their goals better!,프로필을 설정한 회원이 더 목표를 잘 해냈어요!,建立個人資料的會員可以更好地實現他們的目標！,existing
nick_name,Nickname,닉네임,暱稱,existing
change_edit,Change,변경,改變,existing
complete,Complete,완료,完全的,existing
enter_membership_info,Enter Membership Information,회원정보 입력,輸入會員資訊,existing
enter_membership_info_desc,Please enter your information so that we can recommend the appropriate training methods based on your information!,회원님의 정보를 바탕으로 적절한 트레이닝 방법을\n추천해 드립니다. 정확한 정보를 입력해주세요!,請輸入您的訊息，以便我們根據您的資訊推薦合適的培訓方法！,existing
reason_for_personal_info1,Why is personal and physical information required,리앤핏 가입 시,為什麼是,existing
reason_for_personal_info1,Why is personal and physical information required,리앤핏 가입 시,為什麼需要個人和身體訊息,existing
reason_for_personal_info2, when joining RenFit? ,개인 · 신체정보,什麼時候加入RenFit？,existing
reason_for_personal_info3,Why do you need personal information?,가\n필요한 이유가 뭔가요?,為什麼需要個人資訊？,existing
reason_for_personal_info_desc,"We need your date of birth to properly protect the safety and privacy of young users.\nAdditionally, we can provide accurate exercise prescriptions based on gender, height, weight information.","생년월일이 있어야 어린 사용자의 안전과 프라이버시를 제대로 보호할 수 있습니다. 또 성별 및 신장, 체중 정보를 통해 정확한 운동 처방을 제공드릴 수 있습니다.",我們需要您的出生日期，以妥善保護年輕用戶的安全和隱私。,existing
reason_for_personal_info_desc2,The collected data will not\nbe shared and will not be displayed\nin your profile.,위에서 수집된 데이터는 공유되지 않으며\n프로필에도 이 정보가 표시되지 않습니다.,收集的資料不會被分享，也不會顯示在您的個人資料中。,existing
height_f,Height,신장,高度,existing
weight_f,Weight,체중,重量,existing
weight_f,Weight,체중,重量,existing
male,Male,남,男性,existing
male,Male,남,中號,existing
female,Female,여,女性,existing
female,Female,여,F,existing
gender,Gender,성별,性別,existing
gender,Gender,성별,性別,existing
date_of_birth,Date of Birth (YYMMDD),생년월일 (YYMMDD),出生日期（年月日）,existing
tell_level_of_exercise,Please let us know your level of exercise,회원님의 운동 수준을 알려주세요,請讓我們知道您的運動水平,existing
expert_title,Expert,전문가,專家,existing
expert_desc,My level of exercise is advanced.,저의 운동 수준은 수준급이에요,我的運動水準很高。,existing
advanced_title,Advanced,고급,先進的,existing
intermediate_title,Intermediate,중급,中間的,existing
intermediate_desc,I can confidently say that exercise is my hobby.,당당하게 운동이 취미라 할 수 있어요,我可以自信地說，運動是我的興趣。,existing
beginner_title,Beginner,초급,初學者,existing
beginner_desc,I'm ready to start exercising seriously.,본격적으로 운동할 준비가 되었어요,我準備開始認真運動了。,existing
introduction_title,Introduction,입문,介紹,existing
introduction_desc,I know nothing about exercise.,운동에 대해서 아무것도 몰라요,我對運動一無所知。,existing
weight_loss_title,I want to lose weight.,체중 감량을 하고싶어요.,我想減肥。,existing
weight_loss_desc,We will recommend a program that can efficiently increase calorie consumption.,칼로리 소비를 효율적으로 높일 수 있는 프로그램을\n추천해드릴게요!,我們將推薦一個可以有效增加卡路里消耗的計劃。,existing
muscle_increase_title,I want to increase muscle strength.,근력을 키우고 싶어요.,我想增加肌肉力量。,existing
muscle_increase_desc,We will recommend unique exercises from Renfit that can efficiently develop strength and muscle function.,효율적으로 힘과 근기능을 발달할 수 있는 리앤핏만의 운동을\n추천해드릴게요!,我們將推薦 Renfit 的獨特練習，可以有效地增強力量和肌肉功能。,existing
staying_healthy_title,I want to manage overall fitness.,전반적인 체력 관리를 하고싶어요.,我想管理整體健身。,existing
staying_healthy_desc,We will recommend Renfit's exercises that will energize your daily life.,일상생활에 활력을 충전해주는 리앤핏만의 운동을\n추천해드릴게요!,我們將推薦 Renfit 的練習，為您的日常生活注入活力。,existing
survey3_1_title,Very little activity,매우 적은 활동,活動很少,existing
survey3_1_desc,I spend most of my day sitting and do not exercise separately.,"하루의 대부분을 앉아있고, 운동을 따로 하지 않아요.",我一天的大部分時間都是坐著的，不會單獨運動。,existing
survey3_2_title,Light activity,가벼운 활동,輕度活動,existing
survey3_2_desc,"I sit for long periods, but I exercise 1-3 times a week.","앉아있는 시간이 길지만, 운동을 주 1~3회 정도 해요.",我坐的時間很長，但每週運動 1-3 次。,existing
survey3_3_title,Moderate activity,중간 정도의 활동,適度活動,existing
survey3_3_desc,I move around occasionally during the day and exercise 3-5 times a week.,"일과 종종 움직이며, 운동을 주 3~5회 정도 해요.",我白天偶爾走動，每週運動 3-5 次。,existing
survey3_4_title,A lot of activity,매우 많은 활동,大量的活動,existing
survey3_4_desc,I have a lot of movement and exercise 6-7 times a week.,"많은 움직임이 있으며, 운동을 주 6~7회 정도 해요.",我的運動量很大，每週運動6-7次。,existing
survey3_5_title,Intense activity,격렬한 활동,劇烈活動,existing
survey3_5_desc,"I have a job that requires a lot of physical activity, such as heavy lifting.",완력 등 운동 능력을 많이 사용하는 직업을 가지고 있어요.,我的工作需要大量體力活動，例如提重物。,existing
survey4_question_1,Do you have joint pain (such as arthritis) or problems like fractures?,관절 문제로 인한 통증(관절염 등)또는 골절 등의\n문제가 있습니까?,您有關節疼痛（如關節炎）或骨折等問題嗎？,existing
survey4_question_2,"Do you have any cardiovascular or respiratory diseases? (e.g., high blood pressure)",심장이나 호흡기질환이 있습니까? (고혈압 등),您有心血管或呼吸系統疾病嗎？ （例如高血壓）,existing
survey4_question_3,"Do you have any metabolic disorders? (diabetes, obesity, etc.)","대사질환으로 인한 문제가 있습니까? (당뇨병, 비만 등)",您有任何代謝紊亂嗎？ （糖尿病、肥胖等）,existing
survey4_question_4,"Do you have any spinal problems? (herniated disc, stenosis, spondylolisthesis, etc.)","척추손상으로 인한 문제가 있습니까?\n(디스크탈출, 협착증, 분리증 등)",你有脊椎問題嗎？ （椎間盤突出、椎管狹窄、脊椎滑脫等）,existing
purpose_of_exercise,Please let us know your exercise goals.,회원님의 운동 목적을 알려주세요,請讓我們知道您的鍛鍊目標。,existing
how_much_do_you_do,Please let us know your usual activity level.,회원님의 평소 활동량을 알려주세요,請讓我們知道您平時的活動量。,existing
pre_exercise_risk_assessment,Pre-Exercise Risk Assessment,운동 사전 위험도 평가,運動前風險評估,existing
select_yes_or_no,Please select Yes or No for each question.,질문에 따라 예 / 아니요를 선택을 해주세요.,請為每個問題選擇“是”或“否”。,existing
yes,Yes,네,是的,existing
no,No,아니요,不,existing
need_medical_consultation,You need a consultation with a medical professional.,의학 전문가의 상담이 필요합니다.,您需要諮詢醫療專業人員。,existing
login,Login,로그인,登入,existing
renfit_getting_started,Get started with Renfit for a successful workout.,"리앤핏과 함께 실패없는 운동, 시작해보세요.",開始使用 Renfit 進行成功的鍛鍊。,existing
total_weight,Total Weight,무게 총량,總重量,existing
measure_1rm,Measure 1RM!,1RM 측정을 해주세요!,測量1RM！,existing
left_to_target_weight,@value left to target!,목표까지 @value 남았어요!,@剩下的目標值！,existing
achieved_goal,Goal Achieved!,목표를 달성했어요!,目標達到了！,existing
number_of_climbs,Number of Climbs,클라이밋 층 수,攀登次數,existing
unit_layer,Floors,층,樓層,existing
unit_steps,Steps,걸음,步驟,existing
number_of_steps,Current Steps,현재 걸음 수,目前步驟,existing
recently,Recently,최근,最近,existing
recently,Recently,최근,最近的,existing
monday_half,Mon,월,週一,existing
tuesday_half,Tue,화,星期二,existing
wednesday_half,Wed,수,週三,existing
thursday_half,Thu,목,星期四,existing
friday_half,Fri,금,週五,existing
saturday_half,Sat,토,星期六,existing
sunday_half,Sun,일,星期日,existing
number_of_steps_short,Steps,걸음수,步驟,existing
renfit_cardio,Renfit Cardio,클라이밋 유산소,倫菲特有氧運動,existing
cal_consumed,Calories Burned,활동 에너지,燃燒的卡路里,existing
total_muscle_weight,Total Muscle Weight,근력 무게 총량,肌肉總重,existing
program,Program,Program,程式,existing
welcome,Welcome!,Welcome !,歡迎！,existing
welcome_username,"Welcome, @userName!","반가워요, @userName님",歡迎，@userName！,existing
goals,Goals,목표,目標,existing
routine,Routine,루틴,常規,existing
set_goal,Set your goals!,목표를 설정해주세요!,設定你的目標！,existing
chest_power_difference,Chest/Back\nPower Difference,가슴 · 등\n힘 차이,胸部/背部\n力量差異,existing
measuring,Measuring...,측정중..,測量...,existing
lower_body_power_difference,Lower Body\nPower Difference,하체 전 · 후방\n힘 차이,下半身\n力量差異,existing
no_1rm_data,No 1RM data available.,1RM 측정된 데이터가 없습니다.,沒有可用的 1RM 數據。,existing
round,-round,회차,#NAME?,existing
heart_rate,Heart Rate,심박평가,心率,existing
target_heart_rate,Target Heart Rate,목표심박,目標心率,existing
rest_heart_rate,Resting\nHeart Rate,안정시\n심박수,靜止\n心率,existing
average_heart_rate,Average\nHeart Rate,운동시\n평균 심박수,平均\n心率,existing
max_heart_rate,Maximum\nHeart Rate,운동시\n최대 심박수,最大\n心率,existing
check_heart_rate,Measure your heart rate,심박수를 측정해 주세요,測量您的心率,existing
rest,Rest,휴식,休息,existing
stability,Stability,안정,穩定,existing
exercise,Exercise,운동,鍛鍊,existing
intensive_exercise,Intensive Exercise,고강도 운동,強化運動,existing
dangerous_area,Dangerous Zone,위험영역,危險區域,existing
muscular_exercise,Muscular Exercise,근력운동,肌肉鍛鍊,existing
aerobic_activity,Aerobic Activity,유산소운동,有氧活動,existing
aerobic_activity,Aerobic Activity,유산소운동,有氧運動,existing
difference_muscle_strength,Muscle Strength Difference,근력 힘차이,肌力差異,existing
difference_muscle_strength_desc,Exercise prescriptions will be provided based on the difference in muscle strength.,근력 힘차이에 따라 처방 운동이 제공됩니다.,將根據肌肉力量的差異提供運動處方。,existing
1rm_measurement,Muscle Str. Measurement (1RM),근력 힘 측정 평가 (1RM),肌肉力量。測量（1RM）,existing
in_ready,Coming soon,준비 중 입니다.,即將推出,existing
motor_analysis,Exercise Analysis,운동 분석,運動分析,existing
report,Report,리포트,報告,existing
change,History,변화,歷史,existing
contact_us,"If you have any reports or inquiries, please contact us.",신고/문의사항이 있으시면\n연락주세요,如果您有任何報告或疑問，請與我們聯絡。,existing
inquire_kakao_talk,Contact us via KakaoTalk,카카오톡 문의하기,透過 KakaoTalk 聯絡我們,existing
send_us_feedback,Please send us your valuable feedback.,소중한 피드백을 보내주세요.,請將您的寶貴回饋發送給我們。,existing
customer_service,Customer Service,고객센터,客戶服務,existing
consultation_time,Consultation Hours,상담시간,諮詢時間,existing
weekday,Weekday,평일,工作日,existing
kakao_chat_desc,"For other times, please leave a message on KakaoTalk, and we will contact you in order.",이외 시간은 카카오 문의로 남겨주시면 순차적으로 연락드리겠습니다.,其他時間請在KakaoTalk留言，我們會依序聯絡您。,existing
notice,Notice,공지사항,注意,existing
r_u_leaving,Are you sure you want to leave?,정말 탈퇴하시나요?,您確定要離開嗎？,existing
reason_of_leaving,"Please let us know the reason for your withdrawal,\nso we can use it as reference to improve our service.",탈퇴하려는 이유를 알려주시면\n더 좋은 서비스를 만들기 위해 참고하겠습니다.,請告知我們您提款的原因，\n以便我們可以將其作為改進服務的參考。,existing
do_not_workout,I don't exercise regularly.,운동을 잘 하지않아요,我不喜歡鍛煉,existing
do_not_workout,I don't exercise regularly.,운동을 잘 하지않아요,我不常運動。,existing
feel_free_to_give_ur_opinion,Please feel free to give your opinion!,자유로운 의견을 들려주세요!,請隨意發表您的意見！,existing
would_you_like_to_try_again,Members who use Renfit\nare 4 times more consistent!\nWould you like to give it another try?,리앤핏을 사용하는 회원님들은 4배나 더 꾸준히 했답니다! 다시 도전해보지 않으시겠어요?,使用 Renfit 的會員\n一致性提高了 4 倍！,existing
try_again,Try Again!,재도전!,再試一次！,existing
want_to_give_up,I want to give up!,포기할래요!,我想放棄！,existing
reason_for_withdrawal,Please select the reason for withdrawal,탈퇴 사유를 선택해주세요,請選擇提款原因,existing
check_it_out,Please check it out,반드시 확인해주세요,請檢查一下,existing
withdrawal_consequences,"When you withdraw from Renfit, your profile (including affiliations), exercise records, and all other user-set information will be deleted and cannot be recovered.","리앤핏 회원탈퇴 시, 내 프로필(소속 포함), 운동기록 데이터, 그 외 사용자가 설정한 모든 정보가 사라지며 복구가 불가능 합니다.",當您退出 Renfit 時，您的個人資料（包括隸屬關係）、鍛鍊記錄以及所有其他使用者設定的資訊將被刪除且無法恢復。,existing
withdrawal_consequences2,"If you are a valid member of Renfit Center, even if you withdraw from the app, your data such as reservations and exercise test records will continue to be generated through the Fitness Center web service.","리앤핏 센터에 유효한 회원인 경우 앱을 탈퇴하더라도 피트니스 센터 웹을 통해 회원님의 예약, 운동검사 기록 등의 데이터는 계속 생성될 수 있습니다.",如果您是Renfit Center的有效會員，即使您退出應用程序，您的預訂和運動測試記錄等數據將繼續透過Fitness Center網路服務產生。,existing
withdrawal_consequences3,"According to the privacy policy, if it does not fall under exceptional circumstances, information will be deleted after withdrawal, so please save any necessary information before withdrawing.",개인정보 처리방침에 따라 예외적 상황에 해당하지 않은 경우 회원 탈퇴 후 정보가 사라지므로 필요한 정보는 탈퇴 전 미리 저장해주세요.,根據隱私權政策，如無特殊情況，退出後資訊將被刪除，因此請在退出前保存必要的資訊。,existing
agree_to_delete_all,I agree to delete all my information.,모든 정보를 삭제하는 것에 동의합니다.,我同意刪除我的所有資訊。,existing
heart_rate_rest,Resting Heart Rate,안정시 심박수,靜止心率,existing
heart_rate_rest_desc,Please enter your resting heart rate for cardiorespiratory fitness assessment!,심폐지구력 운동 검사를 위해\n안정시 심박수를 입력해주세요!,請輸入您的靜止心率以進行心肺健康評估！,existing
heart_rate_measurement,Resting Heart Rate Measurement,안정시 심박수 측정법,靜止心率測量,existing
use_watch_to_measure,Measure using a smartwatch or automatic blood pressure monitor in the center.\nSit comfortably in a nearby chair and take deep and slow breaths (respirations) 15 times.,스마트 워치 또는 센터 내 자동혈압계를 이용하여 측정합니다. 가까운 의자에 편하게 앉아서 깊고 느린 호흡(심호흡) 15회 해주세요.,使用中心的智慧手錶或自動血壓監測儀進行測量。 \n舒適地坐在附近的椅子上，緩慢深呼吸（呼吸）15 次。,existing
renfit_members_proceed_with_trainer,"※ For Renfit members, please proceed with the center trainer.",※ 리앤핏 회원의 경우 센터 트레이너와 함께 진행해주세요.,※ Renfit會員請在中心教練的指導下進行。,existing
my_info,My Info,내정보,我的信息,existing
height_weight,Height / Weight,키 / 체중,身高/體重,existing
exercise_level,Exercise Level,운동수준,運動水平,existing
male_full,Male,남성,男性,existing
female_full,Female,여성,女性,existing
exercise_purpose,Exercise Purpose,운동목적,鍛鍊目的,existing
no_information,No Data,정보없음,無數據,existing
version_info,Version Info,버전정보,版本資訊,existing
current_version,@version,최신 @version 버전 사용 중,@版本,existing
membership_withdrawal,Membership Withdrawal,회원탈퇴,退出會員資格,existing
ronfic_title,"Ronfic Co., Ltd.",(주)론픽,朗菲克有限公司,existing
ronfic_desc1,Business Registration Number: 287-88-00245 | CEO: Baek Jun Young,사업자 등록번호 287-88-00245ㅣ대표 백준영,商業登記號碼：287-88-00245 |執行長：白俊英,existing
ronfic_desc2,Phone Number: 051-637-6285,전화번호 051-637-6285,電話號碼：051-637-6285,existing
ronfic_desc3,"Address: 1208-2, Jangseong-dong, Haeundae-gu, Busan, 1411 Centum Sky Biz A-dong","주소 부산시 해운대구 재송동 1208-2, 센텀스카이비즈 A동 1411호",地址：釜山廣域市海雲台區長城洞1208-2，Centum Sky Biz A洞1411,existing
ronfic_desc4,Email: info@ronfic.com,이메일 info@ronfic.com,電子郵件：info@ronfic.com,existing
member_number,Member Number,멤버번호,會員編號,existing
member_number_desc,The 'Member Number' is required\nfor using Renfit machines.,리앤핏 머신 사용을 위한 ‘멤버번호’입니다.,使用 Renfit 機器時需要\n「會員號碼」。,existing
activity,Activity,활동,活動,existing
ranking,Ranking,랭킹,排行,existing
api_unresponsive,API Unresponsive,API 응답없음,API 無回應,existing
error_has_occurred,An error has occurred: @error_code,오류가 발생했습니다 : @error_code,發生錯誤：@error_code,existing
loading,Loading,Loading,載入中,existing
unexpected_error_occurred,An unexpected error occurred,Unexpected error occurred,發生意外錯誤,existing
bad_request,Bad Request,Bad Request,錯誤的請求,existing
unable_to_process,Unable to process,Unable to process,無法處理,existing
api_not_responded_in_time,API not responded in time,Api not responded in time,API未及時回應,existing
unauthorized_request,Unauthorized request,UnAuthorized request,未經授權的請求,existing
check,Confirm,확인,確認,existing
please_check_it_out,Please check it out!,확인해주세요!,請檢查一下！,existing
details_of_changes,"Depending on the changed exercise purpose/level, exercise goals will be provided a new. After the current goals are completed, modified exercise prescriptions will be provided","변경된 운동목적/수준에 따라\n운동 목표가 새롭게 제공되며,\n현재 제공된 목표 진행완료 후\n변경된 운동처방이 제공됩니다.",根據改變的運動目的/水平，將提供新的運動目標。當前目標完成後，將提供修改後的運動處方,existing
county_code,Country code,국가번호,國家代碼,existing
hold_on,Hold On!,잠깐!,堅持，稍等！,existing
weekly_goal,Weekly Goal,이번주 활동 목표,每週目標,existing
no_program,No Available Programs,진행 중인 프로그램이 없어요!,沒有可用的程序,existing
server_error,A server error has occurred.,서버 오류가 발생했습니다,伺服器發生錯誤。,existing
enter_registered_email_to_reset,Please enter the email address you signed up for.\nWe will send you an email to reset your password.,가입한 이메일 주소를 입력해 주세요.\n비밀번호 재설정을 위한 이메일을 보내드리겠습니다.,請輸入您註冊時使用的電子郵件地址。,existing
send_sms,Send,인증번호 발송,傳送,existing
enter_valid_phone_number,Please enter a valid phone number.,올바른 전화 번호를 입력하십시오.,請輸入有效的電話號碼。,existing
verification_code,Authentication Code,인증번호,驗證碼,existing
did_not_receive_code,Didn't receive the code?,인증번호가 오지 않는다면?,沒有收到代碼？,existing
resend,Resend,재발송,重新發送,existing
data_rate_might_apply,Text message and data rates may apply.,문자 메시지 및 데이터 요금이 부과될 수 있습니다.,可能需要支付簡訊費和數據費。,existing
sms_already_sent,SMS has already been sent.,SMS가 이미 전송되었습니다.,簡訊已經發送。,existing
wait_for_timer,You can request another SMS only when you don't receive the verification code within 3 minutes,인증 코드를 3분 이내에 받지 못한 경우에만 다른 SMS를 요청할 수 있습니다.,只有當您在3分鐘內未收到驗證碼時，您才可以再次要求短信,existing
login_with_facebook,Login with Facebook,Facebook으로 시작하기.,使用 Facebook 登入,existing
welcome_renfit,Welcome to Renfit!,리앤핏 회원가입을 환영합니다!,歡迎來到倫菲特！,existing
verify_email1,Hello. We have sent a verification email to ,안녕하세요. 본인인증 메일을 귀하의\n,你好。我們已發送驗證電子郵件至,existing
verify_email2,". To complete the signup process, please click the verification button.",로 보냈습니다.\n가입절차를 마치기 위해\n본인인증 버튼을 클릭해주세요.,若要完成註冊流程，請按一下驗證按鈕。,existing
login_,Sign in,로그인 하기,登入,existing
unsubscribed_email,Unsubscribed Email,가입되지 않은 이메일입니다,取消訂閱的電子郵件,existing
case_sensitive,Please enter with consideration for letter case sensitivity.,대소문자를 구분하여 입력해 주세요,輸入時請考慮字母大小寫。,existing
we_sent_email,We have sent the password reset link.,비밀번호 재설정 링크를 보내드립니다.,我們已發送密碼重設連結。,existing
we_sent_email_desc_1,We have sent an email to ,회원님의,我們已發送電子郵件至,existing
we_sent_email_desc_2," for password reset. After changing the password, please try to log in again.",로변경 요청했습니다.비밀번호를 변경 후 다시 로그인 해주세요.,用於密碼重置。更改密碼後，請嘗試重新登入。,existing
my_membership,My Membership,내 회원권,我的會員資格,existing
days_left_1,There's only ,이용 기한이,只有,existing
days_left_2,@day days ,@day일,@天日,existing
days_left_3,left until the expiration date!,밖에 남지 않았어요!,留到過期日期！,existing
renfit_membership,Renfit Membership,리앤핏 회원권,倫菲特會員,existing
renfit_membership,Renfit Membership,리앤핏 회원권,倫菲特會員,existing
no_membership_text,You don't have any purchased membership.,구입한 회원권이 없어요,您沒有購買任何會員資格。,existing
see_membership_plan,Visit Renfit Membership Plans,리앤핏 회원권 구경하러 가기,造訪 Renfit 會員計劃,existing
link_account,Linked accounts,계정연동,關聯帳戶,existing
easy_login,Easy Login,간편로그인,輕鬆登入,existing
easy_login_desc,Link your SNS for a more convenient login experience!,SNS를 연동하여 더욱 편리하게 로그인해 보세요!,連結您的SNS以獲得更便利的登入體驗！,existing
kakao_account,KakaoTalk Account,카카오톡 계정,KakaoTalk 帳戶,existing
